(WALK TA_XPatton XWebb XBerka)
(WALK TA_XPatton XBerka XCollins)
(WALK TA_XPatton XCollins XPeters)
(WALK TA_XPatton XPeters XWilson)
(WALK TA_XPatton XWilson XWhite)
(HOMESAFE TA_XPatton Xwhite)
(DROPOFF TA_XWilson XHershberger)
(WALK TA_XWilson XHershberger XMorales)
(WALK TA_XWilson XMorales XDison)
(WALK TA_XWilson XDison XTaylor)
(WALK TA_XWilson XTaylor XFolsom)
(WALK TA_XWilson XFolsom XRachel)
(WALK TA_XWilson XRachel XManzi)
(WALK TA_XWilson XManzi XTorrez)
(WALK TA_XWilson XTorrez XParks)
(WALK TA_XWilson XParks XGuerra)
(WALK TA_XWilson XGuerra XMorris)
(WALK TA_XWilson XMorris XFord)
(WALK TA_XWilson XFord XBrewer)
(WALK TA_XWilson XBrewer XRossi)
(WALK TA_XWilson XRossi XScalise)
(WALK TA_XWilson XScalise XRodgers)
(WALK TA_XWilson XRodgers XWilliams)
(WALK TA_XWilson XWilliams XLawson)
(WALK TA_XWilson XLawson XWheeler)
(WALK TA_XWilson XWheeler XNeal)
(WALK TA_XWilson XNeal XLewis)
(WALK TA_XWilson XLewis XMcclain)
(WALK TA_XWilson XMcclain XKerr)
(WALK TA_XWilson XKerr XBurke)
(WALK TA_XWilson XBurke XDanger)
(WALK TA_XWilson XDanger XHigginbotham)
(WALK TA_XWilson XHigginbotham XOwens)
(WALK TA_XWilson XOwens XMohr)
(WALK TA_XWilson XMohr XHughes)
(WALK TA_XWilson XHughes XHill)
(WALK TA_XWilson XHill XSherman)
(WALK TA_XWilson XSherman XWorstell)
(WALK TA_XWilson XWorstell XJones)
(WALK TA_XWilson XJones XHolderman)
(WALK TA_XWilson XHolderman XHenry)
(WALK TA_XWilson XHenry XPadgett)
(WALK TA_XWilson XPadgett XMorgan)
(WALK TA_XWilson XMorgan XBean)
(WALK TA_XWilson XBean XWashington)
(WALK TA_XWilson XWashington XSmith)
(WALK TA_XWilson XSmith XVirtue)
(WALK TA_XWilson XVirtue XPatterson)
(WALK TA_XWilson XPatterson XPerrault)
(WALK TA_XWilson XPerrault XBaker)
(WALK TA_XWilson XBaker XHannon)
(WALK TA_XWilson XHannon XDuckey)
(WALK TA_XWilson XDuckey XPenrod)
(WALK TA_XWilson XPenrod XWalker)
(WALK TA_XWilson XWalker XJoy)
(WALK TA_XWilson XJoy XWallace)
(WALK TA_XWilson XWallace XCork)
(WALK TA_XWilson XCork XHosle)
(WALK TA_XWilson XHosle XCourtney)
(WALK TA_XWilson XCourtney XMedina)
(WALK TA_XWilson XMedina XRivers)
(WALK TA_XWilson XRivers XCarroll)
(WALK TA_XWilson XCarroll XDominguez)
(WALK TA_XWilson XDominguez XBranson)
(WALK TA_XWilson XBranson XSebeniecher)
(WALK TA_XWilson XSebeniecher XSnyder)
(WALK TA_XWilson XSnyder XSkelton)
(WALK TA_XWilson XSkelton XMunoz)
(WALK TA_XWilson XMunoz XCribb)
(WALK TA_XWilson XCribb XBraswell)
(WALK TA_XWilson XBraswell XJenkins)
(WALK TA_XWilson XJenkins XWebb)
(WALK TA_XWilson XWebb XBerka)
(WALK TA_XWilson XBerka XCollins)
(WALK TA_XWilson XCollins XPeters)
(WALK TA_XWilson XPeters XWilson)
(WALK TA_XWilson XWilson XWhite)
(WALK TA_XWilson XWhite XHarris)
(HOMESAFE TA_XWilson Xharris)
(DROPOFF TA_XMiller XHershberger)
(WALK TA_XMiller XHershberger XMorales)
(WALK TA_XMiller XMorales XDison)
(WALK TA_XMiller XDison XTaylor)
(WALK TA_XMiller XTaylor XFolsom)
(WALK TA_XMiller XFolsom XRachel)
(WALK TA_XMiller XRachel XManzi)
(WALK TA_XMiller XManzi XTorrez)
(WALK TA_XMiller XTorrez XParks)
(WALK TA_XMiller XParks XGuerra)
(WALK TA_XMiller XGuerra XMorris)
(WALK TA_XMiller XMorris XFord)
(WALK TA_XMiller XFord XBrewer)
(WALK TA_XMiller XBrewer XRossi)
(WALK TA_XMiller XRossi XScalise)
(WALK TA_XMiller XScalise XRodgers)
(WALK TA_XMiller XRodgers XWilliams)
(WALK TA_XMiller XWilliams XLawson)
(WALK TA_XMiller XLawson XWheeler)
(WALK TA_XMiller XWheeler XNeal)
(WALK TA_XMiller XNeal XLewis)
(WALK TA_XMiller XLewis XMcclain)
(WALK TA_XMiller XMcclain XKerr)
(WALK TA_XMiller XKerr XBurke)
(WALK TA_XMiller XBurke XDanger)
(WALK TA_XMiller XDanger XHigginbotham)
(WALK TA_XMiller XHigginbotham XOwens)
(WALK TA_XMiller XOwens XMohr)
(WALK TA_XMiller XMohr XHughes)
(WALK TA_XMiller XHughes XHill)
(WALK TA_XMiller XHill XSherman)
(WALK TA_XMiller XSherman XWorstell)
(WALK TA_XMiller XWorstell XJones)
(WALK TA_XMiller XJones XHolderman)
(WALK TA_XMiller XHolderman XHenry)
(WALK TA_XMiller XHenry XPadgett)
