(DROPOFF TA_XNunez XBooth)
(WALK TA_XYoung XAcuff XGale)
(WALK TA_XYoung XGale XBell)
(WALK TA_XYoung XBell XScofield)
(WALK TA_XYoung XScofield XWare)
(WALK TA_XYoung XWare XCrain)
(WALK TA_XYoung XCrain XMondesir)
(WALK TA_XYoung XMondesir XWhite)
(WALK TA_XYoung XWhite XValdez)
(WALK TA_XYoung XValdez XKrul)
(WALK TA_XYoung XKrul XCorey)
(WALK TA_XYoung XCorey XTrimarchi)
(WALK TA_XYoung XTrimarchi XRoy)
(WALK TA_XYoung XRoy XHogans)
(WALK TA_XYoung XHogans XBray)
(WALK TA_XYoung XBray XCosta)
(WALK TA_XYoung XCosta XBlack)
(WALK TA_XYoung XBlack XBurns)
(WALK TA_XYoung XBurns XGrose)
(WALK TA_XYoung XGrose XBoyd)
(WALK TA_XYoung XBoyd XTerry)
(WALK TA_XYoung XTerry XDavis)
(WALK TA_XYoung XDavis XVann)
(WALK TA_XYoung XVann XMachenry)
(WALK TA_XYoung XMachenry XBurroughs)
(WALK TA_XYoung XBurroughs XJarrette)
(WALK TA_XYoung XJarrette XSung)
(WALK TA_XYoung XSung XNorwood)
(WALK TA_XYoung XNorwood XBradley)
(WALK TA_XYoung XBradley XCurry)
(WALK TA_XYoung XCurry XBurditt)
(WALK TA_XYoung XBurditt XWhitmore)
(WALK TA_XYoung XWhitmore XBeebe)
(WALK TA_XYoung XBeebe XPoirrier)
(WALK TA_XYoung XPoirrier XReed)
(WALK TA_XYoung XReed XLynn)
(WALK TA_XYoung XLynn XLy)
(WALK TA_XYoung XLy XYoung)
(WALK TA_XYoung XYoung XHall)
(WALK TA_XYoung XHall XObrien)
(WALK TA_XYoung XObrien XRodriguez)
(WALK TA_XYoung XRodriguez XJoseph)
(WALK TA_XYoung XJoseph XNunez)
(HOMESAFE TA_XYoung Xnunez)
(DROPOFF TA_XObrien XBooth)
(WALK TA_XObrien XBooth XWebb)
(WALK TA_XObrien XWebb XPhipps)
(WALK TA_XObrien XPhipps XVolz)
(WALK TA_XObrien XVolz XAcuff)
(WALK TA_XObrien XAcuff XGale)
(WALK TA_XObrien XGale XBell)
(WALK TA_XObrien XBell XScofield)
(WALK TA_XObrien XScofield XWare)
(WALK TA_XObrien XWare XCrain)
(WALK TA_XObrien XCrain XMondesir)
(WALK TA_XObrien XMondesir XWhite)
(WALK TA_XObrien XWhite XValdez)
(WALK TA_XObrien XValdez XKrul)
(WALK TA_XObrien XKrul XCorey)
(WALK TA_XObrien XCorey XTrimarchi)
(WALK TA_XObrien XTrimarchi XRoy)
(WALK TA_XObrien XRoy XHogans)
(WALK TA_XObrien XHogans XBray)
(WALK TA_XObrien XBray XCosta)
(WALK TA_XObrien XCosta XBlack)
(WALK TA_XObrien XBlack XBurns)
(WALK TA_XObrien XBurns XGrose)
(WALK TA_XObrien XGrose XBoyd)
(WALK TA_XObrien XBoyd XTerry)
(WALK TA_XObrien XTerry XDavis)
(WALK TA_XObrien XDavis XVann)
(WALK TA_XObrien XVann XMachenry)
(WALK TA_XObrien XMachenry XBurroughs)
(WALK TA_XObrien XBurroughs XJarrette)
(WALK TA_XObrien XJarrette XSung)
(WALK TA_XObrien XSung XNorwood)
(WALK TA_XObrien XNorwood XBradley)
(WALK TA_XObrien XBradley XCurry)
(WALK TA_XObrien XCurry XBurditt)
